CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,DIRECCIÓN LOCAL,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
DLTAB2422,RIO SAMARIA 6,SAMARÍA,,,FRONTERA SUR,TABASCO,TABASCO,CUNDUACÁN,RIO SAMARIA,LÓTICO (HUMEDAL),RÍO,18.01765,-93.14565
DLTAB2423,RIO SAMARIA 4,SAMARÍA,,,FRONTERA SUR,TABASCO,TABASCO,CUNDUACÁN,RIO SAMARIA,LÓTICO (HUMEDAL),RÍO,18.01716,-93.17916
DLTAB2424,RIO SAMARIA CONFLUENCIA CON EL BARI,SAMARÍA,,,FRONTERA SUR,TABASCO,TABASCO,CUNDUACÁN,RIO SAMARIA,LÓTICO,RÍO,18.02847,-93.20397
DLTAB2424M1,LA MAJAGUA,PICHUCALCO,,,FRONTERA SUR,TABASCO,TABASCO,CENTRO,RIO PICHUCALCO,LÓTICO,RIO,17.952444,-92.915733
DLTAB2425,RIO SAMARIA 2,SAMARÍA,,,FRONTERA SUR,TABASCO,TABASCO,CUNDUACÁN,RIO SAMARIA,LÓTICO,RÍO,18.01499,-93.2574
DLTAB2426,RIO SAMARIA 1,MEZCALAPA,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,RIO SAMARIA,LÓTICO (HUMEDAL),RÍO,17.95555,-93.30242
DLTAB2427,MEZCALAPA 3,MEZCALAPA,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,RIO MEZCALAPA,LÓTICO (HUMEDAL),RÍO,17.9435,-93.3487
DLTAB2428,MEZCALAPA 2,MEZCALAPA,,,FRONTERA SUR,TABASCO,TABASCO,HUIMANGUILLO,RIO MEZCALAPA,LÓTICO (HUMEDAL),RÍO,17.884,-93.36285
DLTAB2429,DREN VELADERO 1,CUNDUACÁN,,,FRONTERA SUR,TABASCO,TABASCO,CUNDUACÁN,DREN VELADERO,LÓTICO,DREN,18.07594,-93.30546
DLTAB2430,DREN VELADERO 2,CUNDUACÁN,,,FRONTERA SUR,TABASCO,TABASCO,CUNDUACÁN,DREN VELADERO,LÓTICO,DREN,18.10076,-93.2732
DLTAB2431,"SANTA ROSALIA DE LA CHONTALPA, S.A. DE C.V. (AGUAS ARRIBA)",SANTA ANITA,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,RIO SANTANA,LÓTICO (HUMEDAL),RÍO,18.10217,-93.39331
DLTAB2432,"SANTA ROSALIA DE LA CHONTALPA, S.A. DE C.V. (AGUAS ABAJO)",SANTA ANITA,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,RIO SANTANA,LÓTICO (HUMEDAL),RÍO,18.15871,-93.41257
DLTAB2433,SAPAET BELLOTA 53,,2703,SAMARIA-CUNDUACAN,FRONTERA SUR,TABASCO,TABASCO,CUNDUACÁN,ACUÍFERO SAMARIA-CUNDUACAN,SUBTERRÁNEO,POZO,18.0952,-93.3223
DLTAB2434,SANTA ROSALIA,SANTA ANITA,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,RIO SANTANA,LÓTICO (HUMEDAL),RÍO,18.16923,-93.45188
DLTAB2435,RIO SANTANA 1,SANTA ANITA,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,RIO SANTANA,LÓTICO (HUMEDAL),RÍO,18.20421,-93.49528
DLTAB2436,RIO SANTANA 2,SANTA ANITA,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,RIO SANTANA,LÓTICO (HUMEDAL),RÍO,18.26258,-93.54026
DLTAB2437,LAGUNA CARMEN-MACHONA 6,LAGUNA DEL CARMEN,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,LAGUNA MACHONA,COSTERO (HUMEDAL),LAGUNA,18.32447,-93.61002
DLTAB2438,LAGUNA CARMEN-MACHONA 7,LAGUNA DEL CARMEN,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,LAGUNA MACHONA,COSTERO (HUMEDAL),LAGUNA,18.34864,-93.63029
DLTAB2439,BANCO LA ISLA,LAGUNA MACHONA,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,LA MACHONA,COSTERO (HUMEDAL),LAGUNA,18.3722,-93.61919
DLTAB2440,BARRA DE PANTEONES,LAGUNA MACHONA,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,LA MACHONA,COSTERO (HUMEDAL),LAGUNA,18.386,-93.59177
DLTAB2441,LAGUNA LA MACHONA,LAGUNA DEL CARMEN,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,LAGUNA LA MACHONA,COSTERO (HUMEDAL),LAGUNA,18.35947,-93.57792
DLTAB2442,LAGUNA CARMEN-MACHONA 9,LAGUNA MACHONA,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,LAGUNA LA REDONDA,COSTERO (HUMEDAL),LAGUNA,18.39494,-93.55599
DLTAB2443,LAGUNA CARMEN-MACHONA 10,LAGUNA MACHONA,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,LAGUNA LA REDONDA,COSTERO (HUMEDAL),LAGUNA,18.39607,-93.51411
DLTAB2444,LAGUNA CARMEN-MACHONA 8,LAGUNA MACHONA,,,FRONTERA SUR,TABASCO,TABASCO,CÁRDENAS,LAGUNA MACHONA,COSTERO (HUMEDAL),LAGUNA,18.34578,-93.67512
